From,To,Shape
9251666529,9251666530,"3376.98,1170.07 3359.08,1159.82 3349.55,1176.83 3344.92,1185.11"
376578747,9254676052,
9265113312,9265113313,
9278263105,9278263102,"3025.99,1472.32 3021.15,1476.53 3013.59,1486.69 3009.02,1490.58"
9278925933,9278925939,"3276.95,1216.58 3274.76,1221.04 3274.55,1223.08 3275.43,1225.90 3277.31,1227.89 3291.83,1235.69 3292.45,1241.47"
9278925944,9278925948,"3313.75,1268.29 3320.63,1258.12 3321.76,1254.40 3321.93,1250.53 3320.88,1242.23"
310647931,1678199357,
585628,310647931,"1994.18,4515.26 1923.01,4482.97 1913.24,4484.16"
310675611,585628,"2116.54,4567.59 2088.13,4557.91 1994.18,4515.26"
585626,310675611,"2176.27,4574.77 2146.00,4573.01 2116.54,4567.59"
585618,585626,"2319.07,4567.57 2183.18,4575.31 2176.27,4574.77"
9300506801,cluster_9300506804_9300506808,"553.25,2978.53 539.63,3019.63 535.26,3032.82 531.77,3043.38"
9300506805,cluster_9300506804_9300506808,"562.15,2978.64 548.87,3014.40 543.33,3020.93 538.88,3034.14 535.03,3044.43"
9300506811,9300506812,
9300506812,cluster_26722147_368848_9300572098,"598.73,2975.71 597.02,2966.80 606.55,2965.01 621.22,2962.18 628.18,2960.85 634.81,2959.58"
9300506805,9300506812,"562.15,2978.64 564.35,2990.08 600.17,2983.24 598.73,2975.71"
9300506813,9300506805,"563.13,2936.21 566.56,2954.08 557.77,2955.76 562.15,2978.64"
257886287,4142980732,"1951.97,1549.71 1912.97,1542.28 1880.33,1537.19 1874.43,1536.28 1863.53,1534.58 1830.66,1530.18 1819.61,1527.01 1812.12,1525.23 1803.56,1522.98 1798.44,1520.16"
1634119634,1634119673,"283.99,1344.31 283.16,1349.53 281.83,1356.10 272.56,1377.69 264.15,1396.35 267.35,1410.73 280.36,1417.58 288.43,1420.69 296.75,1431.82 270.29,1450.99 267.12,1453.82"
25630648,961949602,"1356.92,2641.44 1357.11,2649.77 1357.39,2662.65"
cluster_10717867238_7012826575,cluster_3735277343_443847_660638860,"1364.02,1644.54 1400.14,1684.42"
273218060,cluster_10717867238_7012826575,"1313.91,1589.61 1329.58,1606.52 1358.17,1638.09"
84497500,273218060,
cluster_213284374_6957345535,84497500,"1270.33,1542.83 1292.76,1567.63"
592157821,84503732,"1156.39,1536.03 1179.46,1521.32 1191.22,1514.27"
84503733,592168297,"1117.61,1546.03 1117.34,1539.36 1103.86,1515.38 1099.80,1509.19 1097.31,1498.77 1099.63,1495.01 1125.01,1465.45 1129.94,1459.71 1145.54,1449.62"
9422186320,9422141265,"1561.51,3960.01 1546.39,3953.99 1533.94,3951.13 1525.71,3949.68"
9422141268,9422186320,"1595.52,3963.82 1584.16,3958.86 1575.78,3965.70 1561.51,3960.01"
9422141290,9422141269,
9422141291,9422141290,
9422141270,9422141290,"1619.32,3944.03 1613.19,3950.86 1604.97,3959.56 1601.20,3963.46"
1179246738,26820539,
254927756,1179246738,
9531733999,25630546,"513.91,2621.16 517.52,2654.93 523.45,2654.32 539.82,2651.74 541.19,2651.52 546.64,2650.76 549.72,2657.34"
311638646,257843788,"2210.47,3524.63 2213.48,3524.08 2217.08,3524.98"
1497203293,1497203255,"1233.60,1979.84 1234.53,1964.10 1237.57,1959.65 1239.90,1956.68"
993726283,993726326,"268.54,4104.83 253.73,4090.33 242.38,4081.22"
993726298,993726283,"308.09,4143.58 289.41,4125.28 279.14,4115.22 268.54,4104.83"
592116469,84503733,"1041.62,1547.59 1051.94,1543.37 1065.45,1544.22 1117.61,1546.03"
9590483403,9590483405,"1088.14,2522.59 1087.03,2506.23 1086.92,2504.70 1104.25,2501.25"
9590483405,664112574,
1456612827,9591475327,
549912669,549912716,"1396.66,2116.61 1397.03,2143.28 1400.37,2146.27 1402.37,2148.06 1410.24,2147.76 1442.06,2147.72 1454.90,2147.28"
9611749397,9611749398,"1829.49,3526.61 1825.93,3513.12 1822.72,3500.91 1820.99,3494.36"
9627066314,9627134849,
9627146053,9627146055,"2097.58,1901.54 2103.59,1902.54 2100.57,1926.11 2100.26,1930.60"
248109294,253230293,
10058465608,9652710355,"2982.98,3258.08 2979.43,3258.73 2967.17,3260.34 2887.42,3272.38"
1559515422,1559515419,"2046.79,3198.00 2052.27,3197.16 2064.40,3195.17 2069.16,3193.23 2072.85,3192.54"
1214320190,1214320261,"206.68,1259.92 221.32,1231.08 222.85,1228.99"
1879164993,1879165105,"1038.57,2686.86 1044.63,2694.16 1040.58,2697.22 1026.52,2707.85 1020.27,2711.88"
cluster_8360726060_9771900309_9771900311,8360726061,"3269.54,3415.03 3207.84,3446.36"
cluster_9771900304_9771900310,9771900305,"3235.38,3352.10 3167.32,3388.73"
cluster_8499952072_9771900303,cluster_9771900304_9771900310,"3247.49,3345.73 3235.38,3352.10"
9771900307,9771900308,
9771900306,9771900307,
9771900307,cluster_8694772493_8694772516,"3202.17,3290.94 3194.53,3277.23 3197.14,3266.69"
cluster_9771900304_9771900310,9771900307,"3235.38,3352.10 3202.17,3290.94"
cluster_8360726060_9771900309_9771900311,cluster_9771900304_9771900310,"3269.54,3415.03 3238.18,3357.27"
744506936,9832492765,"2661.82,2816.70 2659.01,2813.61 2658.34,2810.59 2657.80,2806.80"
296005615,744506936,
9848638090,1631250717,"1112.66,2932.92 1124.77,2934.03 1126.22,2914.12 1126.06,2898.74 1125.80,2888.83"
9925605995,9925605996,
9928104019,9928104017,"3372.24,1324.18 3356.08,1324.50 3352.54,1323.14"
9928104022,cluster_1456574663_447889048_9928104020,"3369.52,1341.80 3347.42,1341.19 3344.40,1340.09"
9928121160,9928121166,"3246.79,1427.69 3210.21,1404.86 3208.55,1400.75 3206.96,1396.66 3204.93,1392.89 3190.61,1384.07 3193.84,1378.72"
9930074524,9930074525,
9930074524,1456574666,"3380.36,1395.06 3379.47,1377.96 3368.08,1378.28 3365.97,1359.15"
9930074526,9930074524,"3396.18,1405.80 3380.95,1406.50 3380.36,1395.06"
9931968355,9930298300,"3411.27,2286.19 3411.67,2276.81 3429.27,2277.11 3435.46,2278.42 3438.38,2279.03 3438.16,2283.20 3438.04,2285.67"
9930322104,cluster_3563025135_3563025137,"3002.59,2623.69 3000.19,2594.60 2998.63,2583.00"
9930322108,9930322106,"2861.63,2565.11 2866.13,2552.20 2866.53,2548.38"
444326402,cluster_1243664300_664112572,"1099.68,2523.98 1098.38,2519.39"
9984214544,611035151,"2941.51,4468.29 2952.22,4474.70 2959.98,4475.46 2968.46,4474.05 2970.97,4472.87 2990.17,4461.31"
611035151,9984214544,"2990.17,4461.31 2970.97,4472.87 2968.46,4474.05 2959.98,4475.46 2952.22,4474.70 2941.51,4468.29"
9986907567,9986907568,
9986961813,9986961814,
9986968528,9986968527,
9986952282,6302057810,"1732.02,1439.09 1731.50,1430.54 1737.76,1425.89"
9986952287,9986952295,"1886.14,1324.31 1861.50,1321.50 1859.32,1322.55 1857.95,1324.15 1856.92,1329.82 1857.41,1332.15 1859.20,1333.70 1862.58,1334.83 1884.79,1338.14"
9986975185,cluster_592310094_9986975183,"1209.54,1539.13 1223.76,1528.34 1242.17,1511.41"
9987087115,9987087116,"775.60,1890.05 768.57,1897.79 767.20,1899.29"
9987088017,9987088018,"761.68,1875.96 753.42,1885.21 752.09,1886.71"
9987088019,9987088020,"748.65,1862.17 738.88,1873.14 737.58,1874.60"
9987088023,9987088021,"730.50,1853.97 736.12,1847.33 722.61,1835.48"
9989188805,cluster_1426982336_1613276075_262380045_28123169_#2more,"1627.64,2492.79 1633.63,2523.42 1634.46,2526.25 1638.44,2539.79 1640.78,2547.77"
9989237607,cluster_380510879_9989237606,"1507.01,2613.58 1484.98,2617.11"
9989274043,9989274041,"1491.35,3083.67 1507.20,3081.02 1513.92,3080.74"
9989305514,8791622264,"1266.15,3766.65 1279.17,3740.45 1283.47,3732.87"
9989337939,9989337935,"1922.38,3445.95 1910.54,3449.09 1911.56,3453.34 1910.75,3454.92 1911.03,3456.12 1913.63,3467.51 1914.97,3473.40"
9989395990,9989395994,"1078.74,5189.87 1060.97,5187.47 1056.88,5185.98 1053.85,5182.17 1053.54,5174.44"
cluster_1249671689_4081681852,1352598,"1230.37,2243.44 1229.73,2236.39 1226.99,2199.10 1226.05,2192.91"
9991522726,9991522727,
9991522732,9991522737,"562.97,4306.76 563.18,4304.32 444.37,4290.46"
9991522734,9991522732,"580.71,4322.63 561.68,4321.28 562.97,4306.76"
9991522732,9991522734,"562.97,4306.76 581.54,4308.64 580.71,4322.63"
9991522738,9991522739,
9991522737,cluster_993738252_9991522749,"444.37,4290.46 447.12,4271.56"
9991522739,9991522737,"432.29,4292.60 443.85,4294.07 444.37,4290.46"
9991522747,9991522739,
10000373473,10000373472,
10000438484,10000438487,
10000438487,10000438488,
10000438485,10000438487,"940.60,2516.07 915.77,2516.66 912.16,2515.37"
