Node,x,y
10000373472,1316.44,2297.13
10000373473,1300.08,2298.24
10000438484,911.44,2501.97
10000438485,940.60,2516.07
10000438487,912.16,2515.37
10000438488,896.11,2516.59
10000438489,895.25,2499.80
10000438490,896.58,2526.18
10000512730,1648.27,3327.74
10016909803,1056.78,4161.32
1004021481,1744.06,2094.93
10058465608,2982.98,3258.08
1009269427,2986.18,4554.45
10167217797,487.25,1275.50
10169524423,2156.42,4036.94
10169524425,2168.37,4077.99
10203609633,969.75,5764.72
10253454840,2817.48,2392.09
10255018285,3408.32,2738.97
10255018286,3397.49,2741.56
10273378634,1977.32,1947.10
10273468849,1970.68,1879.43
10273468852,1963.34,1901.55
10274259096,2013.81,1865.16
10274259100,2001.68,1915.20
10274259101,2029.12,1892.16
10274259104,2023.19,1921.82
10285716083,2123.63,2126.44
1029560908,1599.29,1817.62
1029567367,1682.99,1990.00
1029572448,1681.66,2023.48
1029572473,1707.01,2000.08
10301239065,2080.36,2004.21
10301239068,2076.79,2036.75
10301239070,2131.63,2014.69
10314942305,3225.59,2737.46
10314966813,3375.01,2710.81
1039540266,2166.60,2127.97
1039540293,2164.78,2099.43
1039540298,2165.18,2109.30
1039540373,2162.88,2138.48
1039560856,2113.92,2134.28
1039560859,2082.31,2134.33
1039560879,2114.01,2102.21
1039560912,2035.20,2097.33
10562094173,921.02,5025.51
10562094175,927.72,4996.48
10683472492,2951.49,2850.65
10694696245,1048.19,1280.04
10697695326,894.25,2961.61
10717867234,1463.55,1580.65
10731233023,889.96,2558.99
10802929285,874.29,1560.42
10802929287,902.91,1532.10
10834048788,504.52,966.54
10834048790,463.81,952.70
10834048793,519.21,978.27
10853912,230.46,2512.66
10853913,421.89,2502.50
10854208,234.87,2589.87
10854209,265.71,2619.16
10878602994,2938.29,2646.41
1092083244,1361.59,3792.67
10924332,436.22,2601.48
10929961,372.13,2984.66
1093872774,1292.46,1715.67
1093872785,1140.69,1768.02
1093872797,757.13,1593.74
1093872824,775.92,1577.61
1093872838,807.09,1630.34
1093872844,783.36,1566.07
1093872872,719.01,1532.39
1093872874,817.66,1604.66
1093874892,798.18,1521.10
10957722954,247.26,2283.86
10979220758,336.13,2276.95
1098521482,3293.17,2374.92
10989051,556.05,2554.84
10989096,427.59,2416.90
10990037,492.06,2499.35
10995549966,2261.03,4052.55
10995549967,2264.15,4062.21
10995549974,2293.76,4038.75
10996639693,1934.88,2200.66
11002026189,1831.79,3307.35
11002026191,2008.91,3081.67
11002026192,1961.75,3132.34
11002030177,3351.13,2801.92
11002030179,3214.97,2821.15
11002030181,2980.83,2874.58
11007212985,2119.83,2808.26
11025963959,2134.67,1754.65
11025963960,2131.45,1794.67
11036068010,3192.21,3524.93
11055200611,1289.03,1005.81
11055200614,1263.29,970.92
11055200629,1180.02,1134.14
11055200632,1151.87,1103.56
11064793201,3042.98,995.15
11064793203,2972.67,971.57
11094269423,1044.90,1135.29
11094269429,1033.05,1104.77
11101121226,427.28,2420.93
11101667308,434.93,4985.48
11105673199,1241.55,2303.01
11105888255,291.60,5201.53
11110545408,1371.50,5364.51
11133495,1144.77,1401.60
11139910813,531.55,5243.60
11139910816,483.26,5230.22
11143102623,430.42,5428.73
1116205896,2549.13,4582.57
1131131356,857.01,1543.15
1138171506,2103.97,601.47
1138171514,2097.78,614.27
1138226558,1947.93,460.81
1139674448,981.81,3676.87
1139674461,955.82,3636.60
1139696778,1458.85,5234.39
1141855590,1867.53,2395.51
1141881734,1648.05,2598.32
1141881744,1620.93,2618.24
1141881757,1621.01,2605.30
1141881760,1621.26,2598.39
1142037858,749.27,2317.62
1142037884,747.52,2327.96
1142200350,1017.08,2321.69
1142200361,1000.75,2311.56
1145231282,922.92,2238.92
1145231286,923.15,2262.08
1145231287,837.37,2239.74
1145829482,968.78,5258.42
1146944330,1427.56,3728.49
1158586821,1606.91,928.50
1158665492,1787.75,1141.27
1158702876,1057.03,1219.10
1158927183,689.75,1407.84
1179246738,1501.11,3693.43
1179246745,1479.34,3678.04
1214320190,206.68,1259.92
1214320261,222.85,1228.99
1219104552,625.82,4800.84
1237756,321.89,1759.54
1237757,223.42,1654.75
1238704,658.17,3398.03
1238706,838.96,3470.19
1238711,840.39,3486.14
1238714,1168.93,2894.23
1238715,1169.39,2865.74
1238718,1112.72,2881.49
1238725,915.28,2788.50
1238731,675.99,2826.26
1239333832,3507.60,5143.32
1253841594,1169.41,2880.69
1265004320,1057.81,2598.91
1265004329,1051.04,2598.39
1265004335,1057.14,2574.67
1265004353,1043.43,2561.40
1265004359,1035.83,2538.46
1265004382,1029.65,2597.45
1273342286,656.39,3041.75
1273342310,647.29,3114.98
1273342374,667.24,3069.50
1276827896,1589.46,2246.34
1293242104,439.23,492.30
1293263896,550.94,693.90
1293263928,526.03,1316.47
1293263935,564.22,1208.40
1293263977,523.38,1312.66
1293264094,738.58,618.59
1293264097,468.40,1365.94
1293264125,514.76,1328.30
1293264148,508.91,1327.24
1293264155,296.09,1506.77
1293264157,471.68,1369.31
1293270759,31.88,1847.66
1293270767,35.80,1849.12
1293282023,50.14,2853.32
1293282025,123.28,3025.33
1293722238,481.00,465.44
1293722257,622.13,789.33
1293722272,598.25,583.96
1293743983,1122.02,333.86
12950731,241.14,2731.61
1295296028,380.38,3495.36
1295296030,283.84,3272.22
1295296036,58.23,2849.09
1295296041,311.60,3349.18
1295296046,329.22,3406.25
1295296051,54.13,2851.23
1295296056,327.65,3391.67
1295296057,334.13,3404.76
1298564740,3458.66,2427.37
1299345522,1372.59,2759.59
1307661022,1852.68,2209.98
1307661036,1835.02,2208.84
1307661039,1891.30,2212.36
1307690722,1959.13,2215.99
1307822193,2020.38,2224.13
1316358196,2184.24,4671.26
1325227229,1738.57,2216.89
133530793#3-AddedOnRampNode,2673.94,5178.74
1340936376,2017.20,3977.85
1340936406,1980.58,3875.27
1340936411,1971.65,3877.69
1340936426,1855.01,3791.05
1340936508,1876.49,3882.33
1340936558,2126.54,4115.04
1340947599,1885.12,2952.44
1341075012,1842.91,2949.02
1342070215,1374.40,1713.52
1342113212,834.40,5578.70
1342113221,861.45,5255.45
1342113245,784.64,5914.32
1342113254,814.85,4977.02
1342113269,836.12,5059.51
1342113279,833.11,5041.58
1342113281,846.36,5096.17
1345580820,1652.47,4055.35
1345580823,1695.64,4064.32
1349277479,3109.59,2692.15
1349286539,3111.54,2708.62
1349286544,3117.76,2712.35
1349293490,2964.74,2690.87
1349331802,2903.23,2904.94
1349331805,2703.18,2920.18
1349331806,2809.70,2916.54
1349331808,2784.80,2920.78
1349331809,2704.78,2932.19
1352541,636.90,2199.00
1352542,672.47,2027.93
1352544,807.92,2235.27
1352548,748.20,2041.59
1352550,759.83,1994.87
1352552,782.82,1912.32
1352555,849.00,1962.63
1352559,848.91,1784.18
1352560,812.75,1710.54
1352562,866.59,1815.85
1352565,932.75,1865.45
1352566,974.53,1939.02
1352568,974.95,1778.48
1352576,1031.68,1808.84
1352579,1113.74,1716.01
1352581,1127.20,1743.94
1352584,1114.94,1959.00
1352585,1105.82,1886.54
1352586,1031.02,1946.04
1352591,984.32,2046.87
1352592,961.05,1999.87
1352594,1122.76,2059.80
1352598,1226.05,2192.91
1352599,1138.72,2203.92
1352601,1131.86,2157.73
1352602,1049.48,2217.07
1352604,952.84,1699.33
1352605,647.07,1800.16
1352607,714.45,1855.32
1352608,950.68,2239.26
1352610,700.96,2099.03
1352612,689.04,2206.60
1352613,863.45,2123.61
1352615,657.56,2093.31
1352617,595.49,2013.89
1352623,1211.41,1951.86
1352624,1218.57,1947.07
1352626,1202.86,1944.50
1352628,1172.68,1828.70
1352632,210.82,2127.68
1352634,460.68,2389.64
1352636,425.44,2368.95
1354850,498.97,1964.72
1354852,501.52,1945.31
1354858,1246.08,2252.19
1354864,778.84,2324.04
1354881,746.81,1643.33
1354883,1056.29,2153.62
1354885,1007.09,2149.96
1363623411,1942.88,655.11
1363623463,1931.04,751.09
1363623465,1909.65,748.99
1363742989,1647.23,2023.84
1363742991,1692.67,2023.46
1363743084,1627.48,2045.52
1363743105,1647.71,2048.69
1363743108,1656.03,2049.98
1363743130,1692.15,2057.57
1363743185,1658.26,2075.54
1363743262,1677.63,2102.64
1363743264,1642.61,2107.60
1368252828,214.11,600.81
1373486224,2524.25,761.94
1382824163,1924.89,976.52
1384164394,1923.30,1209.59
1388598868,1792.75,792.51
1388701290,1781.23,1243.74
1393689529,2440.26,3944.48
1393690270,2489.21,3933.86
1393691330,2286.95,3939.76
1401277062,2519.87,4922.38
1401277069,2445.45,4937.52
1401277071,2462.83,4953.07
1401277078,2398.99,5019.83
1403601645,1961.86,1184.53
